PG;ANNO PG;POSIZIONE;PUNTEGGIO;DISAGIO_ABITATIVO_P;PROGETTO_P;ALLOGGIO_IMPROPRIO_P;INIDONEITA_IMMOBILE_P;ANTIGIENICITA_P;SFRATTO_P;SISTEMAZIONE_PRECARIA_P;BASSO_ISEE_P;INCIDENZA_P;DISTANZA_P;GIOVANE_COPPIA_P;ADULTO_CON_FIGLIO_P;NUCLEO_MONOFAMILIARE_P;NUCLEO_PLURICOMPONENTE_P;CONDIZIONE_ANZIANA_P;CONDIZIONI_CERTIFICATE_P;CONDIZIONE_COABITAZIONE_P;AIRE_P;PROFUGHI_ITALIANI_P;ANZIANITA_DOMANDA_P
55584;2007;4270;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
75317;2007;4271;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
85672;2007;4272;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
53743;2007;4273;16,00;;;;;;;;;3,00;;;;;;8,00;;2,00;;;3,00
67505;2007;4274;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
75820;2007;4275;16,00;7,00;3,00;;;;;;;;;;;3,00;;;;;;;3,00
34832;2007;4276;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
58572;2007;4277;16,00;;;;;;;;;8,00;;;;3,00;;;;2,00;;;3,00
50255;2007;4278;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
83073;2007;4279;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
39665;2007;4280;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
71562;2007;4281;16,00;;;;;;;;;3,00;;;;3,00;;;7,00;;;;3,00
50119;2007;4282;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
58095;2007;4283;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
81497;2007;4284;16,00;7,00;3,00;;;;;;;;;;;3,00;;;;;;;3,00
46073;2007;4285;16,00;;;;;;;;;3,00;;;;10,00;;;;;;;3,00
47789;2007;4286;16,00;7,00;3,00;;;;;;;;;;;3,00;;;;;;;3,00
