Quartiere;Servizio;Struttura;Tipo struttura;Istituzione scol;Indirizzo;Comune;Provincia
NAVILE;SCUOLA PRIMARIA;VILLA TORCHI;Statale;ISTITUTO COMPRENSIVO N. 4;VIA VERNE n.21;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;BEATA VERGINE DI S.LUCA;Privata paritaria;ISTITUTO SALESIANO BEATA VERGINE DI S.LUCA ;VIA J DELLA QUERCIA n.1;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;CASA CIRCONDARIALE DOZZA;Statale;ISTITUTO COMPRENSIVO N. 10;VIA DEL GOMITO n.4;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;MARIA AUSILIATRICE;Privata paritaria;MARIA AUSILIATRICE;VIA JACOPO DELLA QUERCIA n.5;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;NAVILE;Privata;;VIA MARCO POLO n.53;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;PANZINI;Statale;ISTITUTO COMPRENSIVO N. 4;VIA GIULIO VERNE n.19;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;SALVO D'ACQUISTO;Statale;ISTITUTO COMPRENSIVO N. 3;VIA BEVERARA n.188;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;TESTONI - FIORAVANTI;Statale;ISTITUTO COMPRENSIVO N. 5;VIA DI VINCENZO n.55;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI PRIMO GRADO;ZAPPA;Statale;ISTITUTO COMPRENSIVO N. 15;VIA SALICETO n.74;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;BEATA VERGINE DI S.LUCA;Privata paritaria;ISTITUTO SALESIANO BEATA VERGINE DI S.LUCA ;VIA J DELLA QUERCIA n.1;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;IST. TECNICI E PROFESS. ALDINI - VALERIANI E SIRANI;Statale;ISTITUTO ALDINI VALERIANI SIRANI;VIA SARIO BASSANELLI n.9/11;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;IST. TECNICO PROFESSIONALE ARRIGO SERPIERI;Statale;ISTITUTO ARRIGO SERPIERI;VIA VITTORIO PEGLION n.25;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;IST.PROFESSIONALE MARCELLO MALPIGHI SEDE COORD. ODONTOTECNICO ;Statale;IPIAC MALPIGHI;VIA MARCO POLO n.20/2;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO AGRARIO SERPIERI;Statale;"ISTITUTO SUPERIORE ""ARRIGO SERPIERI""";VIA PEGLION n.25;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;ISTITUTO TECNICO COMMERCIALE R.LUXEMBURG;Statale;ITCS ROSA LUXEMBURG;VIA DALLA VOLTA n.4;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO LINGUISTICO INTERNAZIONALE;Privata paritaria;"LICEO LINGUISTICO ""INTERNAZIONALE""";VIA PROCACCINI n.26/2;BOLOGNA;BOLOGNA
NAVILE;SCUOLA SECONDARIA DI SECONDO GRADO;LICEO SCIENTIFICO A.B.SABIN;Statale;LICEO A. B. SABIN;VIA MATTEOTTI n.7;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;BRUCO ROSA (EX S.CAVINA 2);Comunale;;VIA MARZABOTTO n.1/7;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;CALICANTO;Privata convenzionata;;VIA DELLO SCALO n.16;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;COCCHERI;Comunale;;VIA PIER DE' CRESCENZI n.14/4;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;L'ARCOBALENO BABY CLUB;Privata;;VIA BRUGNOLI n.21/C;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;LA PENTOLA MAGICA;Privata convenzionata;;VIA PIAVE n.4;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;MARAMEO;Comunale in concessione;;VIA PIAVE n.12/3;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;MARZABOTTO;Comunale;;VIA MONTERUMICI n.1/4;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;PROGETTO 1 - 6 (GESTITO DA CADIAI);Privata convenzionata;;VIA PIER DE' CRESCENZI n.14/2;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;S.CAVINA;Comunale;;VIA MARZABOTTO n.1/8;BOLOGNA;BOLOGNA
PORTO;NIDO D'INFANZIA;VIGANO';Comunale;;VIA AZZO GARDINO n.63;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;ANDERSEN;Comunale;QUARTIERE PORTO;VIA DELLO SCALO n.17/2;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;DALL'OLIO;Comunale;QUARTIERE PORTO;VIA MONTERUMICI n.1/2;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;DE AMICIS;Statale;ISTITUTO COMPRENSIVO N. 18;VIA MILAZZO n.3/1;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;FIGLIE DI SANT'ANNA;Privata convenzionata;FIGLIE DI SANT'ANNA;VIA PIAVE n.2;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;GIUSEPPE DOZZA;Comunale;QUARTIERE PORTO;VIA MONTERUMICI n.1;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;GUIDI TERESINA;Comunale;QUARTIERE PORTO;VIA CALORI n.8;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;MAGO MERLINO;Comunale;QUARTIERE PORTO;VIA AZZOGARDINO n.63;BOLOGNA;BOLOGNA
PORTO;SCUOLA DELL'INFANZIA;MARZABOTTO;Comunale;QUARTIERE PORTO;VIA MONTERUMICI n.1/4;BOLOGNA;BOLOGNA
