CODVIA;DENOMINAZIONE
20900;VIALE DANTE DRUSIANI
20930;VIA DUCCIO DI BONINSEGNA
20940;GALLERIA 2 AGOSTO 1980
20950;VIA DUE MADONNE
21000;VIA DUE PORTONI
21050;GALLERIA DUE TORRI
21100;VIA GIOVANNI DUPRE'
21150;VIA ELEONORA DUSE
21180;ROTONDA SANT'EGIDIO
21200;VIA EGNAZIA
21230;VIA LUIGI EINAUDI
21250;VIA ALBERTO EINSTEIN
21270;VIA GIOVANNI ELKAN
21280;VIA DELL'ELETTRICISTA
21300;VIA GIOVANNI EMANUEL
21350;VIA EMILIA LEVANTE
21400;VIA EMILIA PONENTE
21430;VIA FEDERIGO ENRIQUES
21450;VIA ERBOSA
21500;VIALE GIAN BATTISTA ERCOLANI
21540;VIALE JOSEMARIA ESCRIVA'
21550;VIA GIORGIO ERCOLANI
21570;VIA ETRURIA
21580;VIALE EUROPA
21600;VIA PAOLO FABBRI
21650;VICOLO DE' FACCHINI
21700;VIA PIETRO FACCINI
21710;VIA RAFFAELE FACCIOLI
21720;ROTONDA ARISTIDE FACCIOLI
21730;VIA FAENZA
21750;VIA DEL FAGGIOLO
21800;VICOLO DEL FALCONE
21810;GALLERIA FALCONE E BORSELLINO
21850;VIA DE' FALEGNAMI
21900;VIA PIO CARLO FALLETTI
21920;VIALE GIUSEPPE FANIN
21930;VIA PETRONIO FANCELLI
21940;VIA LUIGI FANTINI
21950;VICOLO FANTUZZI
21960;VIA MARIO FANTIN
21980;VIA FRANCESCO FANTONI
22000;VIA FARINI
22020;VIA LUIGINA FASOLI
22050;VIA GIOVANNI FATTORI
22090;VIA GIOVANNI FAVILLI
22100;VIA S.FELICE
22150;MURA DI PORTA S.FELICE
22200;PIAZZA DI PORTA S.FELICE
22250;VIA FELICINA
22300;VIA DEI FELICINI
22310;VIA FERNANDO FELICORI
22320;VIALE FELSINA
22330;VIA FELTRE
22340;VIA BEPPE FENOGLIO
22350;VIA ENRICO FERMI
22380;VIA FERRARA
22400;VIA FERRARESE
22440;VIA ENZO FERRARI
22450;VIA SEVERINO FERRARI
22500;VIA EDOARDO FERRAVILLA
22550;VIA ENRICO FERRI
22600;VIA DELLA FERRIERA
22620;VIA DEL FERROVIERE
22650;VIA ANTONIO FIACCHI
22680;VIA DON GIOVANNI FIAMMELLI
22700;VIA DEL FICO
22750;VIALE DELLA FIERA
22800;VIA DELLA FILANDA
22850;VIA FILIPPINI
22900;VIALE QUIRICO FILOPANTI
22950;VIA ANGELO FINELLI
23000;VIA MARIO FINZI
23050;VIA ARISTOTILE FIORAVANTI
23070;VIA GARZIA FIORESI
23100;VIA TIBERIO FIORILLI
